id,name,city_id,created_by_id,last_modified_by_id
59173234-17e7-4b37-88f1-9b2c7390a35f,ÇİNE,24bc317b-2ed3-4944-b83e-c59253b5c058,3,3
33325505-4c2e-4589-aea7-a5de50b337a2,KORKUTELİ,bb35b134-f081-4cb8-844b-0f60da38da06,3,3
0dd44c03-2539-47ff-9464-ff63f9aaa338,KOYULHİSAR,fa6946d4-b281-4cc5-a047-0b4b80a11268,3,3
65e7bb69-fff9-4a11-82e2-61e5526a7015,TUZLUKÇU,4f36f744-5985-4605-b65a-a60f986d8197,3,3
a5cb5933-9c3a-46f6-8e60-9330a355007d,ZARA,fa6946d4-b281-4cc5-a047-0b4b80a11268,3,3
577f738f-145a-4079-a9f5-88266c8bbb9e,KÖPRÜBAŞI,2facbd65-ca92-408e-ac53-516e60f468d7,3,3
8c28cd01-8272-4abe-a82a-c7bb13aae94b,SARAY,9c9e321e-663f-4cb4-8085-5facd464dc68,3,3
a46b9f6d-80d4-440b-9324-4dad816521ff,SAFRANBOLU,7e1a2f38-0110-4d83-9828-06b50510f925,3,3
ba3404ec-4d01-4e7b-bd3a-5a3c366d7205,İNEGÖL,9b5965d9-4b44-49d4-a6ff-e98f61308229,3,3
17fb2843-d8dd-4cfb-b89c-f761efeb4b9c,GÖMEÇ,8b88c606-15c7-487b-8d6d-26a36bd70b8c,3,3
a7d65685-c150-477a-bc04-d46135d05e02,YAĞLIDERE,3232c980-5404-4060-b18c-fa745df09751,3,3
1b6471d7-29b1-4aef-abd7-b7a2dd65455c,MERKEZ,7e1a2f38-0110-4d83-9828-06b50510f925,3,3
a425ee32-a249-492b-a119-31478bc63c58,EMET,4fd7e41e-3234-40c2-bec0-3c33f6d13bca,3,3
b296e51f-c7e9-4601-b09d-1412fadffc97,SERİNHİSAR,7a47e8c4-2981-41bf-a91b-83e769344b29,3,3
14f7848b-68bf-4ea0-b247-9f9d0e9a25f2,DEMİRÖZÜ,82fe070e-7f4b-4c08-a627-64979612ddc0,3,3
7a2aa115-1e4f-4f1f-9534-b03fb4995be3,DARGEÇİT,006b7ca0-1c73-43fb-93d7-b7fef750c97a,3,3
db4ec89d-d504-4aa6-990e-8beae1cb91cf,FATSA,162397e6-3942-45a2-aa9b-4ec912f86c0f,3,3
0a6e583c-a5c3-45e9-af08-46ea2dc7d636,YENİPAZAR,24bc317b-2ed3-4944-b83e-c59253b5c058,3,3
3b3f1f10-f5e6-4967-a85b-e8936cbcacaf,KARKAMIŞ,ed75450b-02d0-4be1-9b67-a69da901b6bc,3,3
e349c68f-ff76-4c55-82e2-f5ce7c1f6d38,YÜREĞİR,f25d9ff9-f343-4a54-93e3-36180dbcab32,3,3
797fa9ab-0a72-488f-b7da-ba31d7871da3,GÜZELBAHÇE,5f83fa90-a3e1-44ca-84e2-18c5c531c200,3,3
ccc74b6e-8c38-40ca-bee6-19216497bde6,MENTEŞE,8b7f8818-c1c7-4b6c-89c6-9427fdc92fd9,3,3
6d70ff34-63a9-4ed3-89ac-f922195e07ef,POLATELİ,6a1721f9-d4aa-47d5-b93d-c7500eb46bda,3,3
c3abca21-e074-47e0-ba39-f89fc53f3610,KORGAN,162397e6-3942-45a2-aa9b-4ec912f86c0f,3,3
e00477b0-a1d5-4ce6-aed8-8dde2c7b2c18,İVRİNDİ,8b88c606-15c7-487b-8d6d-26a36bd70b8c,3,3
3779faf9-015d-458e-a12c-c3bd616b220c,GÜNDOĞMUŞ,bb35b134-f081-4cb8-844b-0f60da38da06,3,3
dbcdea5e-78cf-4ef6-9eaf-17e2575b5646,BAĞCILAR,f68c97c5-2ea7-431e-8e4d-bc4a1118b62b,3,3
