id,role_id,object_name,read,update,delete,is_hierarchical,created_by_id,last_modified_by_id
89a5d753-5f1e-4064-a6e5-f3affaa9e6ad,ROLE_USER,CustomerSurveyAnswer,true,true,true,false,1,1
564d60cc-9449-4b78-a0b9-45400160e692,ROLE_USER,District,true,false,false,false,1,1
88bf8927-0ecd-492b-adb0-42d4748aff14,ROLE_USER,EntityMetadata,true,false,false,false,1,1
4e3b6a32-bc80-459a-89a1-bc341ec56b13,ROLE_USER,FieldMetadata,true,false,false,false,1,1
eb287b48-4e40-4d90-bcc2-fcbfef060c80,ROLE_USER,FileDescriptor,false,false,false,false,1,1
79ccde64-e493-436d-abf5-503a3056d4ad,ROLE_USER,Layout,true,true,true,true,1,1
6507641b-6de2-4ffc-8120-456c6fd85797,ROLE_USER,Operation,true,false,false,false,1,1
5954b92a-180f-4587-b3cc-ce783fc53166,ROLE_USER,OpetFleet,false,false,false,false,1,1
605a881b-6c74-4f0e-9d0e-1009ac2d93fd,ROLE_USER,OpetSale,false,false,false,false,1,1
3e4c5bdb-3363-4272-a709-5833843637a9,ROLE_USER,Permission,true,false,false,false,1,1
3a2ddae0-2bea-480a-bddd-261caf005a13,ROLE_USER,Product,true,false,false,false,1,1
498f8a28-156f-4c70-a5fc-c700bf0e2bd1,ROLE_USER,Quote,true,true,true,false,1,1
23301630-4f43-4f8c-8228-cef14aac16e2,ROLE_USER,QuoteVersion,true,true,true,false,1,1
22beffb0-f49b-45c1-a971-65c4c98290aa,ROLE_USER,QuoteVersionLineItem,true,true,true,false,1,1
d0cbece0-3373-4286-ab44-3d3b6a7a3baf,ROLE_USER,Report,true,true,true,true,1,1
7ff1d868-d2d2-4124-95a8-67737d467760,ROLE_USER,Role,true,false,false,false,1,1
c9a788bd-7329-40cc-bc92-16a644617c74,ROLE_USER,SummaryOpetSale,false,false,false,false,1,1
fb74dacd-bba3-41b3-8a0c-f2f03b48f5d6,ROLE_USER,SummaryUserCustomer,false,false,false,false,1,1
0e703f87-3f1a-419c-901e-ef7b91c63ab1,ROLE_USER,SurveyAnswer,true,true,true,false,1,1
b50a30c4-ad5f-4f18-890e-26258df91ef7,ROLE_USER,SurveyQuestion,true,true,true,false,1,1
e5269197-36af-40bf-b555-66193816e379,ROLE_USER,Target,true,false,false,true,1,1
823b6853-6f57-4e07-afce-4829fcaf9abf,ROLE_USER,Task,true,true,true,false,1,1
82cc2739-c203-448f-b75b-c73b119d73a1,ROLE_USER,User,true,false,false,true,1,1
